SN,District,Local Level Name,Total family number,Total household number,population,Total Male,Total Female
329,Lalitpur,Mahalaxmi Municipality,31509,20659,118710,60388,58322
330,Lalitpur,Mahankal Rural Municipality,1878,1836,7861,3913,3948
331,Bhaktapur,Bhaktapur Municipality,18854,12200,78854,39664,39190
332,Bhaktapur,Changunarayan Municipality,21946,17373,88612,44073,44539
333,Bhaktapur,Madhyapur Thimi Municipality,31768,17639,119955,60954,59001
334,Bhaktapur,Suryabinayak Municipality,35885,23637,137971,68971,69000
335,Kathmandu,Budhanilakantha Municipality,47169,26910,179688,89284,90404
336,Kathmandu,Chandragiri Municipality,36012,22070,136928,68350,68578
337,Kathmandu,Dakshinkali Municipality,6527,5568,26744,13179,13565
338,Kathmandu,Gokarneshwor Municipality,40114,19098,151200,74453,76747
339,Kathmandu,Kageshwori Manahora Municipality,34794,21028,133327,66138,67189
340,Kathmandu,Kathmandu Metropolitian City,231714,105649,845767,431501,414266
341,Kathmandu,Kirtipur Municipality,24211,12676,81782,43378,38404
342,Kathmandu,Nagarjun Municipality,31323,17466,115507,57631,57876
343,Kathmandu,Shankharapur Municipality,7275,6479,30414,15188,15226
344,Kathmandu,Tarakeshwor Municipality,41364,21623,151508,75300,76208
345,Kathmandu,Tokha Municipality,37413,17239,135741,67396,68345
346,Nuwakot,Belkotgadhi Municipality,9464,9244,35200,17139,18061
347,Nuwakot,Bidur Municipality,15604,13911,60111,29043,31068
348,Nuwakot,Dupcheshwar Rural Municipality,5195,5023,21019,10473,10546
349,Nuwakot,Kakani Rural Municipality,6388,6012,24323,11969,12354
350,Nuwakot,Kispang Rural Municipality,3969,3853,14122,6920,7202
351,Nuwakot,Likhu Rural Municipality,4604,4374,17737,8646,9091
352,Nuwakot,Myagang Rural Municipality,3755,3595,12417,6086,6331
353,Nuwakot,Panchakanya Rural Municipality,3629,3539,13864,6771,7093
354,Nuwakot,Shivapuri Rural Municipality,4877,4795,16979,8115,8864
355,Nuwakot,Suryagadhi Rural Municipality,3842,3776,14929,7256,7673
356,Nuwakot,Tadi Rural Municipality,4031,3867,16055,7911,8144
357,Nuwakot,Tarkeshwar Rural Municipality,3792,3735,14164,6670,7494
358,Rasuwa,Gosaikunda Rural Municipality,2477,2149,8043,4071,3972
359,Rasuwa,Kalika Rural Municipality,2474,2412,10172,5011,5161
360,Rasuwa,Naukunda Rural Municipality,2899,2878,12095,6059,6036
361,Rasuwa,Amachodingmo Rural Municipality,1727,1688,6673,3486,3187
362,Rasuwa,Uttargaya Rural Municipality,2264,2235,8571,4232,4339
363,Dhading,Benighat Rorang Rural Municipality,7791,6979,34473,17542,16931
364,Dhading,Dhunibesi Municipality,7235,6777,29126,14411,14715
365,Dhading,Gajuri Rural Municipality,6909,6306,28756,14471,14285
366,Dhading,Galchi Rural Municipality,6212,5783,24206,11875,12331
367,Dhading,Gangajamuna Rural Municipality,5305,5183,19460,9494,9966
368,Dhading,Jwalamukhi Rural Municipality,6116,5972,21202,9898,11304
369,Dhading,Khaniyabash Rural Municipality,2640,2618,10680,5175,5505
370,Dhading,Netrawati Dabjong Rural Municipality,3295,3242,11271,5390,5881
371,Dhading,Nilakantha Municipality,16579,14281,58151,27136,31015
372,Dhading,Rubi Valley Rural Municipality,3005,2989,10472,5261,5211
373,Dhading,Siddhalek Rural Municipality,5883,5795,22212,10652,11560
374,Dhading,Thakre Rural Municipality,7745,7142,31554,15797,15757
375,Dhading,Tripura Sundari Rural Municipality,5748,5596,21188,10105,11083
376,Makwanpur,Bagmati Rural Municipality,6498,6195,30625,15111,15514
377,Makwanpur,Bakaiya Rural Municipality,9028,8664,40671,19947,20724
378,Makwanpur,Bhimphedi Rural Municipality,5128,4939,21626,10668,10958
379,Makwanpur,Hetauda Sub-Metropolitian City,47027,39425,195951,97324,98627
380,Makwanpur,Indrasarowar Rural Municipality,3415,3217,13758,6739,7019
381,Makwanpur,Kailash Rural Municipality,4487,4400,21992,11140,10852
382,Makwanpur,Makawanpurgadhi Rural Municipality,5342,5239,24252,12169,12083
383,Makwanpur,Manahari Rural Municipality,10762,10097,47144,22986,24158
384,Makwanpur,Raksirang Rural Municipality,5077,5043,25871,13147,12724
385,Makwanpur,Thaha Municipality,9842,8995,39163,19241,19922
386,Chitawan,Bharatpur Metropolitian City,98288,77838,369377,179744,189633
387,Chitawan,Ichchhyakamana Rural Municipality,6174,5517,26965,13599,13366
388,Chitawan,Kalika Municipality,12466,11623,52779,25740,27039
389,Chitawan,Khairahani Municipality,16757,14650,68675,33104,35571
390,Chitawan,Madi Municipality,10227,9710,38550,18257,20293
391,Chitawan,Rapti Municipality,15459,14390,66426,32609,33817
392,Chitawan,Ratnanagar Municipality,22670,19901,90978,44120,46858
393,Gorkha,Aarughat Rural Municipality,6220,5950,21876,10409,11467
394,Gorkha,Ajirkot Rural Municipality,3667,3589,13002,6389,6613
395,Gorkha,Bhimsenthapa Rural Municipality,5265,5186,17118,7819,9299
396,Gorkha,Chum Nubri Rural Municipality,2134,2036,6789,3240,3549
397,Gorkha,Dharche Rural Municipality,3790,3683,14563,7025,7538
398,Gorkha,Gandaki Rural Municipality,5688,5537,21662,10414,11248
399,Gorkha,Gorkha Municipality,15298,12641,53285,25279,28006
400,Gorkha,Palungtar Municipality,11317,10727,37274,17431,19843
401,Gorkha,Sahid Lakhan Rural Municipality,6812,6554,22429,10492,11937
402,Gorkha,Siranchok Rural Municipality,6026,5907,19829,9352,10477
403,Gorkha,Barpak Sulikot Rural Municipality,6583,6426,23222,10921,12301
404,Lamjung,Besishahar Municipality,11308,8781,38562,18525,20037
405,Lamjung,Dordi Rural Municipality,4597,4462,15639,7585,8054
406,Lamjung,Dudhpokhari Rural Municipality,2492,2470,8558,4178,4380
407,Lamjung,Kwholasothar Rural Municipality,2285,2228,8008,3827,4181
408,Lamjung,MadhyaNepal Municipality,6528,6002,21373,9767,11606
409,Lamjung,Marsyangdi Rural Municipality,4620,4455,17267,8421,8846
410,Lamjung,Rainas Municipality,5009,4872,17207,8309,8898
411,Lamjung,Sundarbazar Municipality,8034,6831,26866,12597,14269
412,Tanahu,Anbukhaireni Rural Municipality,6284,4758,22349,10791,11558
413,Tanahu,Bandipur Rural Municipality,5418,4712,19403,9251,10152
414,Tanahu,Bhanu Municipality,13064,12351,43255,19943,23312
415,Tanahu,Bhimad Municipality,8964,7965,33077,15166,17911
416,Tanahu,Byas Municipality,24078,19547,80944,37669,43275
417,Tanahu,Devghat Rural Municipality,3878,3653,14941,7115,7826
418,Tanahu,Ghiring Rural Municipality,4490,4102,15038,7013,8025
419,Tanahu,Myagde Rural Municipality,6532,5857,23385,10781,12604
420,Tanahu,Rhishing Rural Municipality,4981,4611,18821,8590,10231
421,Tanahu,Shuklagandaki Municipality,15479,14086,55749,26023,29726
