SN,District,Local Level Name,Total family number,Total household number,population,Total Male,Total Female
225,Sarlahi,Ramnagar Rural Municipality,5853,4373,31687,16335,15352
226,Rautahat,Baudhimai Municipality,6091,4899,39348,20260,19088
227,Rautahat,Brindaban Municipality,8237,6751,50144,24994,25150
228,Rautahat,Chandrapur Municipality,17237,15034,83350,41245,42105
229,Rautahat,Dewahhi Gonahi Municipality,6340,4990,38808,19561,19247
230,Rautahat,Durga Bhagwati Rural Municipality,4136,3369,23226,11809,11417
231,Rautahat,Gadhimai Municipality,7850,6306,49642,25191,24451
232,Rautahat,Garuda Municipality,9765,7796,60009,30685,29324
233,Rautahat,Gaur Municipality,7743,6062,40368,20655,19713
234,Rautahat,Gujara Municipality,9682,7989,54089,26391,27698
235,Rautahat,Ishanath Municipality,8084,6289,53402,26821,26581
236,Rautahat,Katahariya Municipality,7789,5933,47455,24148,23307
237,Rautahat,Madhav Narayan Municipality,7081,5575,40974,20953,20021
238,Rautahat,Maulapur Municipality,5428,4164,32468,16702,15766
239,Rautahat,Paroha Municipality,7214,5656,46749,23068,23681
240,Rautahat,Phatuwa Bijayapur Municipality,7777,6323,44358,21882,22476
241,Rautahat,Rajdevi Municipality,5919,4600,33836,16923,16913
242,Rautahat,Rajpur Municipality,8254,6205,54372,26939,27433
243,Rautahat,Yemunamai Rural Municipality,4728,3622,28607,14042,14565
244,Bara,Adarshkotwal Rural Municipality,5196,4217,29586,15141,14445
245,Bara,Baragadhi Rural Municipality,5118,4071,29836,15164,14672
246,Bara,Bishrampur Rural Municipality,4310,3678,23891,12535,11356
247,Bara,Devtal Rural Municipality,3936,3143,25082,13388,11694
248,Bara,Jitpur Simara Sub-Metropolitian City,23677,19848,119148,60461,58687
249,Bara,Kalaiya Sub-Metropolitian City,23760,19810,141179,72540,68639
250,Bara,Karaiyamai Rural Municipality,5154,4026,29045,14583,14462
251,Bara,Kolhabi Municipality,11495,9728,46200,22362,23838
252,Bara,Mahagadhimai Municipality,9952,8020,59744,30717,29027
253,Bara,Nijgadh Municipality,8455,7931,36591,18006,18585
254,Bara,Pacharauta Municipality,6402,5128,40252,20468,19784
255,Bara,Parwanipur Rural Municipality,3664,2975,22466,11767,10699
256,Bara,Pheta Rural Municipality,5195,4414,28922,14888,14034
257,Bara,Prasauni Rural Municipality,3400,2924,21747,11146,10601
258,Bara,Simraungadh Municipality,9064,7645,53103,27378,25725
259,Bara,Suwarna Rural Municipality,5584,4743,35875,18528,17347
260,Parsa,Bahudaramai Municipality,7058,5721,43780,22801,20979
261,Parsa,Bindabasini Rural Municipality,3832,3210,24466,12637,11829
262,Parsa,Birgunj Metropolitian City,47218,36697,268273,139849,128424
263,Parsa,Chhipaharmai Rural Municipality,4316,3698,26742,13732,13010
264,Parsa,Dhobini Rural Municipality,3585,3063,22846,11803,11043
265,Parsa,Jagarnathpur Rural Municipality,5846,4960,32737,16537,16200
266,Parsa,Jirabhawani Rural Municipality,5287,4280,22602,11200,11402
267,Parsa,Kalikamai Rural Municipality,3788,3099,23740,12232,11508
268,Parsa,Pakahamainpur Rural Municipality,3825,3406,22957,12073,10884
269,Parsa,Parsagadhi Municipality,8002,6653,41477,21023,20454
270,Parsa,Paterwasugauli Rural Municipality,4850,3851,25508,12866,12642
271,Parsa,Pokhariya Municipality,6614,5504,38985,20285,18700
272,Parsa,SakhuwaPrasauni Rural Municipality,6382,5244,35712,17890,17822
273,Parsa,Thori Rural Municipality,4546,4333,17494,8346,9148
274,Sindhuli,Dudhouli Municipality,16231,14869,70679,34227,36452
275,Sindhuli,Ghanglekh Rural Municipality,2875,2801,12701,6214,6487
276,Sindhuli,Golanjor Rural Municipality,4537,4340,19012,9296,9716
277,Sindhuli,Hariharpurgadhi Rural Municipality,5298,5199,26829,13132,13697
278,Sindhuli,Kamalamai Municipality,18238,15913,71811,34922,36889
279,Sindhuli,Marin Rural Municipality,6089,5843,28988,14277,14711
280,Sindhuli,Phikkal Rural Municipality,3091,3039,14359,7058,7301
281,Sindhuli,Sunkoshi Rural Municipality,5075,4920,18136,8772,9364
282,Sindhuli,Tinpatan Rural Municipality,7939,7669,35145,17429,17716
283,Ramechhap,Doramba Rural Municipality,5036,4928,17529,8129,9400
284,Ramechhap,Gokulganga Rural Municipality,4897,4773,18363,8826,9537
285,Ramechhap,Khadadevi Rural Municipality,5507,5392,19381,9174,10207
286,Ramechhap,Likhu Tamakoshi Rural Municipality,5310,5149,18675,8702,9973
287,Ramechhap,Manthali Municipality,11105,10212,40230,18967,21263
288,Ramechhap,Ramechhap Municipality,6663,6456,25117,11829,13288
289,Ramechhap,Sunapati Rural Municipality,4201,4100,14616,6932,7684
290,Ramechhap,Umakunda Rural Municipality,4216,4063,16709,8219,8490
291,Dolakha,Baiteshwor Rural Municipality,5412,5212,17947,8613,9334
292,Dolakha,Bhimeshwor Municipality,10265,9049,35122,16895,18227
293,Dolakha,Bigu Rural Municipality,5055,4805,16299,7853,8446
294,Dolakha,Gaurishankar Rural Municipality,4667,4612,15982,7889,8093
295,Dolakha,Jiri Municipality,4102,3959,15500,7530,7970
296,Dolakha,Kalinchok Rural Municipality,6268,6046,21210,10354,10856
297,Dolakha,Melung Rural Municipality,4877,4759,16051,7571,8480
298,Dolakha,Sailung Rural Municipality,5248,5088,18328,9048,9280
299,Dolakha,Tamakoshi Rural Municipality,4759,4317,15237,7369,7868
300,Sindhupalchok,Barhabise Municipality,6994,6677,24158,11980,12178
301,Sindhupalchok,Balefi Rural Municipality,4730,4467,16465,8062,8403
302,Sindhupalchok,Bhotekoshi Rural Municipality,3769,3622,14239,7259,6980
